# Generated at,,
# UTC+08,,
# Period Selected: Entire Record,,
#,,
# Comment: ,,
# Description: ,,
# Duration: 0:01:00:00,,
# EventType: Maximum,,
# ReportTitle: Daily,,
# TimeStep: Day,,
# Time-Series Identifier:,,
# Serial No. here,,
#,,
# CSV data starts at line 16,,
#,,
Time Stamp,Event Start Time,Maximum
30-06-70 0:00,30-06-70 8:00,0
01-07-70 0:00,01-07-70 17:13,32.73410405
02-07-70 0:00,02-07-70 13:50,24.06287367
03-07-70 0:00,03-07-70 6:59,0.032808997
04-07-70 0:00,04-07-70 12:25,2.327779159
05-07-70 0:00,05-07-70 7:00,0.016324803
06-07-70 0:00,06-07-70 0:00,0
07-07-70 0:00,07-07-70 0:00,0
08-07-70 0:00,08-07-70 0:00,0
09-07-70 0:00,09-07-70 0:00,0
10-07-70 0:00,10-07-70 0:00,0
11-07-70 0:00,11-07-70 0:00,0
12-07-70 0:00,12-07-70 0:00,0
13-07-70 0:00,13-07-70 0:00,0
14-07-70 0:00,14-07-70 0:00,0
15-07-70 0:00,15-07-70 0:00,0
16-07-70 0:00,16-07-70 14:09,0.813287397
17-07-70 0:00,17-07-70 23:59,1.505630575
18-07-70 0:00,18-07-70 19:14,2.577012496
19-07-70 0:00,19-07-70 15:05,6.242440476
20-07-70 0:00,20-07-70 20:58,1.473820297
21-07-70 0:00,21-07-70 1:58,0.168067227
22-07-70 0:00,22-07-70 23:59,0.004436612
23-07-70 0:00,23-07-70 15:36,16.44987475
24-07-70 0:00,24-07-70 7:00,0.062026189
25-07-70 0:00,25-07-70 0:00,0
26-07-70 0:00,26-07-70 0:00,0
27-07-70 0:00,27-07-70 23:59,0.012205321
28-07-70 0:00,28-07-70 8:34,26.94620887
29-07-70 0:00,29-07-70 6:59,0.009107583
30-07-70 0:00,30-07-70 23:59,0.001353783
31-07-70 0:00,31-07-70 23:59,0.001353783
01-08-70 0:00,01-08-70 23:59,0.001353783
02-08-70 0:00,02-08-70 23:59,0.001353783
03-08-70 0:00,03-08-70 23:59,0.001353783
04-08-70 0:00,04-08-70 17:09,1.62605574
05-08-70 0:00,05-08-70 22:57,3.329292929
06-08-70 0:00,06-08-70 7:00,0.062146112
07-08-70 0:00,07-08-70 23:59,0.001236582
08-08-70 0:00,08-08-70 23:59,0.001236582
09-08-70 0:00,09-08-70 16:52,0.569325997
10-08-70 0:00,10-08-70 16:06,2.991220683
11-08-70 0:00,11-08-70 0:00,0.628738839
12-08-70 0:00,12-08-70 19:31,5.468521094
13-08-70 0:00,13-08-70 6:59,0.05451737
14-08-70 0:00,14-08-70 23:59,0.001343133
15-08-70 0:00,15-08-70 23:59,0.001343133
16-08-70 0:00,16-08-70 14:21,1.217161187
17-08-70 0:00,17-08-70 17:51,0.018428462
18-08-70 0:00,18-08-70 6:59,0.02078762
19-08-70 0:00,19-08-70 0:00,0
20-08-70 0:00,20-08-70 0:00,0
21-08-70 0:00,21-08-70 0:00,0
22-08-70 0:00,22-08-70 0:00,0
23-08-70 0:00,23-08-70 0:00,0
24-08-70 0:00,24-08-70 7:25,21.1
25-08-70 0:00,25-08-70 15:23,13.80477922
26-08-70 0:00,26-08-70 6:59,0.006405922
27-08-70 0:00,27-08-70 14:23,70.6361805
28-08-70 0:00,28-08-70 6:59,0.078449888
29-08-70 0:00,29-08-70 0:00,0
30-08-70 0:00,30-08-70 17:10,1.79258427
31-08-70 0:00,31-08-70 6:52,5.549488422
01-09-70 0:00,01-09-70 23:59,0.004166016
02-09-70 0:00,02-09-70 15:06,13.00258628
03-09-70 0:00,03-09-70 23:59,0.004310474
04-09-70 0:00,04-09-70 13:53,8.301066098
05-09-70 0:00,05-09-70 7:00,0.011630161
