# Generated at,,
# UTC+08,,
# Period Selected: 1969-12-31 00:00 - 2020-12-31 23:59,,
#,,
# Comment: ,,
# Description: ,,
# Duration: 0:01:00:00,,
# EventType: Maximum,,
# ReportTitle: Yearly,,
# TimeStep: Year,,
# Time-Series Identifier:,,
# Sample Yearly Interval,,
#,,
# CSV data starts at line 16,,
#,,
Time Stamp,Event Start Time,Maximum
01-01-70 0:00,27-08-70 14:23,70.6361805
01-01-71 0:00,31-07-71 17:05,95.98061674
01-01-72 0:00,16-11-72 23:47,78.89350348
01-01-73 0:00,14-12-73 15:56,61
01-01-74 0:00,06-06-74 16:20,74.21489362
01-01-75 0:00,16-04-75 15:47,79.5
01-01-76 0:00,30-05-76 13:06,68.5
01-01-77 0:00,15-08-77 13:50,71.5
01-01-78 0:00,29-10-78 15:33,78.73802395
01-01-79 0:00,03-04-79 15:00,86.5
01-01-80 0:00,25-01-80 17:58,65.3980456
01-01-81 0:00,13-02-81 12:35,64.5
01-01-82 0:00,11-02-82 16:59,69.10236887
01-01-83 0:00,26-04-83 18:38,84.65625
01-01-84 0:00,01-05-84 3:24,75.5
01-01-85 0:00,01-03-85 20:28,58.08819057
01-01-86 0:00,13-04-86 18:37,58.97985989
01-01-87 0:00,11-02-87 17:58,46.69008376
01-01-88 0:00,08-04-88 16:24,85.78579835
01-01-89 0:00,25-12-89 17:56,54.38095238
01-01-90 0:00,20-04-90 5:50,35.77899078
01-01-91 0:00,13-02-91 19:03,47.68530907
01-01-92 0:00,26-09-92 13:18,63.16965742
01-01-93 0:00,08-04-93 5:01,86.32779661
01-01-94 0:00,15-10-94 15:57,52
01-01-95 0:00,19-10-95 7:00,87
01-01-96 0:00,04-06-96 12:40,63.11881188
01-01-97 0:00,06-10-97 6:58,54.5
01-01-98 0:00,13-09-98 1:07,69.34895833
01-01-99 0:00,27-10-99 8:26,65.60599676
01-01-00 0:00,29-09-00 16:14,92.11188811
01-01-01 0:00,06-06-01 15:37,95.56410256
01-01-02 0:00,08-10-02 16:08,102.6882353
01-01-03 0:00,03-07-03 16:23,77.90654206
01-01-04 0:00,15-10-04 17:24,83.234375
01-01-05 0:00,14-08-05 13:57,74.19444444
01-01-06 0:00,06-06-06 16:49,111.62
01-01-07 0:00,10-06-07 19:34,103.1833333
01-01-08 0:00,30-05-08 15:41,87.55895196
01-01-09 0:00,22-10-09 14:27,56.64497423
01-01-10 0:00,09-04-10 16:06,92.21363636
01-01-11 0:00,24-02-11 15:31,58.01860465
01-01-12 0:00,07-03-12 18:59,82.54545454
01-01-13 0:00,22-10-13 16:47,91.3
01-01-14 0:00,16-04-14 15:45,79.52216312
01-01-15 0:00,11-08-15 16:10,61.50406504
01-01-16 0:00,18-11-16 15:59,77.84677419
01-01-17 0:00,25-04-17 15:51,80.48837209
01-01-18 0:00,11-11-18 16:29,127.6944444
01-01-19 0:00,29-10-19 14:59,88.71964424
01-01-20 0:00,19-01-20 0:30,28.03078291
